,exp_name,env_name,seed,metric,env_step,value
80,fog,HalfCheetah-v4,22,avg_return,25000.0,4427.4
81,fog,HalfCheetah-v4,22,avg_return,50000.0,5421.6
82,fog,HalfCheetah-v4,22,avg_return,75000.0,5905.6
83,fog,HalfCheetah-v4,22,avg_return,100000.0,6756.1
84,fog,HalfCheetah-v4,22,avg_return,125000.0,7165.5
85,fog,HalfCheetah-v4,22,avg_return,150000.0,7798.6
86,fog,HalfCheetah-v4,22,avg_return,175000.0,8521.9
87,fog,HalfCheetah-v4,22,avg_return,200000.0,8449.5
88,fog,HalfCheetah-v4,22,avg_return,225000.0,8729.9
89,fog,HalfCheetah-v4,22,avg_return,250000.0,8661.0
90,fog,HalfCheetah-v4,22,avg_return,275000.0,8847.6
91,fog,HalfCheetah-v4,22,avg_return,300000.0,9316.5
92,fog,HalfCheetah-v4,22,avg_return,325000.0,9414.8
93,fog,HalfCheetah-v4,22,avg_return,350000.0,9717.7
94,fog,HalfCheetah-v4,22,avg_return,375000.0,9891.4
95,fog,HalfCheetah-v4,22,avg_return,400000.0,10042.1
96,fog,HalfCheetah-v4,22,avg_return,425000.0,8883.6
97,fog,HalfCheetah-v4,22,avg_return,450000.0,10012.0
98,fog,HalfCheetah-v4,22,avg_return,475000.0,9829.0
99,fog,HalfCheetah-v4,22,avg_return,500000.0,10103.8
100,fog,HalfCheetah-v4,22,avg_return,525000.0,10121.2
101,fog,HalfCheetah-v4,22,avg_return,550000.0,10215.9
102,fog,HalfCheetah-v4,22,avg_return,575000.0,10307.8
103,fog,HalfCheetah-v4,22,avg_return,600000.0,10304.3
104,fog,HalfCheetah-v4,22,avg_return,625000.0,8543.8
105,fog,HalfCheetah-v4,22,avg_return,650000.0,9834.1
106,fog,HalfCheetah-v4,22,avg_return,675000.0,9938.7
107,fog,HalfCheetah-v4,22,avg_return,700000.0,10195.8
108,fog,HalfCheetah-v4,22,avg_return,725000.0,10186.0
109,fog,HalfCheetah-v4,22,avg_return,750000.0,10051.9
110,fog,HalfCheetah-v4,22,avg_return,775000.0,9803.7
111,fog,HalfCheetah-v4,22,avg_return,800000.0,10045.1
112,fog,HalfCheetah-v4,22,avg_return,825000.0,8545.8
113,fog,HalfCheetah-v4,22,avg_return,850000.0,10275.3
114,fog,HalfCheetah-v4,22,avg_return,875000.0,10022.9
115,fog,HalfCheetah-v4,22,avg_return,900000.0,10387.8
116,fog,HalfCheetah-v4,22,avg_return,925000.0,10146.8
117,fog,HalfCheetah-v4,22,avg_return,950000.0,10207.9
118,fog,HalfCheetah-v4,22,avg_return,975000.0,10317.5
119,fog,HalfCheetah-v4,22,avg_return,1000000.0,10513.6
120,fog,h1-reach-v0,35,avg_return,25000.0,1204.2
121,fog,h1-reach-v0,35,avg_return,50000.0,760.8
122,fog,h1-reach-v0,35,avg_return,75000.0,133.6
123,fog,h1-reach-v0,35,avg_return,100000.0,1258.7
124,fog,h1-reach-v0,35,avg_return,125000.0,600.8
125,fog,h1-reach-v0,35,avg_return,150000.0,544.5
126,fog,h1-reach-v0,35,avg_return,175000.0,1284.5
127,fog,h1-reach-v0,35,avg_return,200000.0,787.2
128,fog,h1-reach-v0,35,avg_return,225000.0,855.1
129,fog,h1-reach-v0,35,avg_return,250000.0,337.3
130,fog,h1-reach-v0,35,avg_return,275000.0,1751.5
131,fog,h1-reach-v0,35,avg_return,300000.0,1189.0
132,fog,h1-reach-v0,35,avg_return,325000.0,1693.6
133,fog,h1-reach-v0,35,avg_return,350000.0,1309.0
134,fog,h1-reach-v0,35,avg_return,375000.0,1416.8
135,fog,h1-reach-v0,35,avg_return,400000.0,1365.6
136,fog,h1-reach-v0,35,avg_return,425000.0,619.9
137,fog,h1-reach-v0,35,avg_return,450000.0,1538.8
138,fog,h1-reach-v0,35,avg_return,475000.0,1163.1
139,fog,h1-reach-v0,35,avg_return,500000.0,2098.5
140,fog,h1-reach-v0,35,avg_return,525000.0,2293.5
141,fog,h1-reach-v0,35,avg_return,550000.0,2000.8
142,fog,h1-reach-v0,35,avg_return,575000.0,1849.1
143,fog,h1-reach-v0,35,avg_return,600000.0,1985.8
144,fog,h1-reach-v0,35,avg_return,625000.0,1490.9
145,fog,h1-reach-v0,35,avg_return,650000.0,1903.5
146,fog,h1-reach-v0,35,avg_return,675000.0,2103.4
147,fog,h1-reach-v0,35,avg_return,700000.0,1424.6
148,fog,h1-reach-v0,35,avg_return,725000.0,2108.0
149,fog,h1-reach-v0,35,avg_return,750000.0,1162.8
150,fog,h1-reach-v0,35,avg_return,775000.0,2828.6
151,fog,h1-reach-v0,35,avg_return,800000.0,1927.9
152,fog,h1-reach-v0,35,avg_return,825000.0,3608.1
153,fog,h1-reach-v0,35,avg_return,850000.0,1653.1
154,fog,h1-reach-v0,35,avg_return,875000.0,1918.7
155,fog,h1-reach-v0,35,avg_return,900000.0,2941.5
156,fog,h1-reach-v0,35,avg_return,925000.0,2643.0
157,fog,h1-reach-v0,35,avg_return,950000.0,1564.0
158,fog,h1-reach-v0,35,avg_return,975000.0,1614.5
159,fog,h1-reach-v0,35,avg_return,1000000.0,2382.5
160,fog,dog-run,22,avg_return,25000.0,9.4
161,fog,dog-run,22,avg_return,50000.0,13.5
162,fog,dog-run,22,avg_return,75000.0,29.2
163,fog,dog-run,22,avg_return,100000.0,30.7
164,fog,dog-run,22,avg_return,125000.0,50.2
165,fog,dog-run,22,avg_return,150000.0,94.1
166,fog,dog-run,22,avg_return,175000.0,130.4
167,fog,dog-run,22,avg_return,200000.0,153.0
168,fog,dog-run,22,avg_return,225000.0,164.3
169,fog,dog-run,22,avg_return,250000.0,170.9
170,fog,dog-run,22,avg_return,275000.0,240.9
171,fog,dog-run,22,avg_return,300000.0,256.0
172,fog,dog-run,22,avg_return,325000.0,308.7
173,fog,dog-run,22,avg_return,350000.0,352.3
174,fog,dog-run,22,avg_return,375000.0,467.2
175,fog,dog-run,22,avg_return,400000.0,493.2
176,fog,dog-run,22,avg_return,425000.0,24.4
177,fog,dog-run,22,avg_return,450000.0,432.3
178,fog,dog-run,22,avg_return,475000.0,477.1
179,fog,dog-run,22,avg_return,500000.0,543.3
180,fog,dog-run,22,avg_return,525000.0,535.6
181,fog,dog-run,22,avg_return,550000.0,536.8
182,fog,dog-run,22,avg_return,575000.0,568.5
183,fog,dog-run,22,avg_return,600000.0,554.3
184,fog,dog-run,22,avg_return,625000.0,145.7
185,fog,dog-run,22,avg_return,650000.0,321.6
186,fog,dog-run,22,avg_return,675000.0,508.4
187,fog,dog-run,22,avg_return,700000.0,583.4
188,fog,dog-run,22,avg_return,725000.0,570.9
189,fog,dog-run,22,avg_return,750000.0,589.8
190,fog,dog-run,22,avg_return,775000.0,622.3
191,fog,dog-run,22,avg_return,800000.0,586.3
192,fog,dog-run,22,avg_return,825000.0,245.6
193,fog,dog-run,22,avg_return,850000.0,316.8
194,fog,dog-run,22,avg_return,875000.0,433.7
195,fog,dog-run,22,avg_return,900000.0,560.7
196,fog,dog-run,22,avg_return,925000.0,533.1
197,fog,dog-run,22,avg_return,950000.0,608.6
198,fog,dog-run,22,avg_return,975000.0,607.7
199,fog,dog-run,22,avg_return,1000000.0,640.1
200,fog,Humanoid-v4,22,avg_return,25000.0,469.9
201,fog,Humanoid-v4,22,avg_return,50000.0,468.1
202,fog,Humanoid-v4,22,avg_return,75000.0,723.1
203,fog,Humanoid-v4,22,avg_return,100000.0,1280.6
204,fog,Humanoid-v4,22,avg_return,125000.0,1057.0
205,fog,Humanoid-v4,22,avg_return,150000.0,4823.4
206,fog,Humanoid-v4,22,avg_return,175000.0,869.1
207,fog,Humanoid-v4,22,avg_return,200000.0,2082.4
208,fog,Humanoid-v4,22,avg_return,225000.0,1176.3
209,fog,Humanoid-v4,22,avg_return,250000.0,2170.6
210,fog,Humanoid-v4,22,avg_return,275000.0,3762.6
211,fog,Humanoid-v4,22,avg_return,300000.0,4502.5
212,fog,Humanoid-v4,22,avg_return,325000.0,4292.7
213,fog,Humanoid-v4,22,avg_return,350000.0,2454.9
214,fog,Humanoid-v4,22,avg_return,375000.0,3641.5
215,fog,Humanoid-v4,22,avg_return,400000.0,5887.6
216,fog,Humanoid-v4,22,avg_return,425000.0,889.7
